00004241, 00000000, 000022b1, 00000000, 00000000, 000007d0, 001880a8
00005341, 00000000, 000022d1, 00000000, 00000000, 00000190, 0018ca7c
00005341, 00000000, 000022e5, 00000000, 00000000, 000007d0, 0018f128
00004241, 00000000, 00002301, 00000000, 00000000, 00000258, 0007b318
00004241, 00000000, 00002321, 00000000, 00000000, 00000384, 0007b0c0
00005341, 00000000, 00002335, 00000000, 00000000, 00000258, 0007b5d4
00005341, 00000000, 00002349, 00000000, 00000000, 00000384, 0007b82c
00004241, 00000000, 000001f0, 00000000, 00000000, 000002bc, 0002fcd8
00004241, 00000000, 0000002a, 00000000, 00000000, 000003e8, 0005f758
00004241, 00000000, 0000025c, 00000000, 00000000, 000002bc, 0002fc74
