80 , 0.00  , 110.25
100, 0.01  , 90.25
120, 0.11  , 70.36
140, 0.88  , 51.13
160, 3.72  , 33.97
180, 10.18 , 20.43
200, 20.90 , 11.15
220, 35.33 , 5.57
240, 52.34 , 2.58
260, 70.88 , 1.13
280, 90.22 , 0.47
300, 109.94, 0.19
320, 129.83, 0.07
340, 149.78, 0.03
360, 169.76, 0.01
